entity_id,entity_type,name,image_url
40736,character,Hyunwoo,https://cdn.myanimelist.net/images/characters/4/563389.jpg
40737,character,"Yoon, Seyeon",https://cdn.myanimelist.net/images/characters/16/563390.jpg
40738,character,Skull,https://cdn.myanimelist.net/images/characters/8/567979.jpg
40739,character,"Kang, Sujin",https://cdn.myanimelist.net/images/characters/3/562612.jpg
40740,character,Suho's Father,https://cdn.myanimelist.net/images/characters/3/564115.jpg
40741,character,"Han, Gowoon",https://cdn.myanimelist.net/images/characters/8/561959.jpg
40742,staff,"Rollo, Alfredo",
40743,staff,Yaongyi,
40744,staff,"Bodart, Michaël",
40745,producer,Fabtone,
40746,character,"Mujina, Najimu",https://cdn.myanimelist.net/images/characters/2/429488.jpg
40747,character,"Garcia, Dekasegi",https://cdn.myanimelist.net/images/characters/4/429491.jpg
40748,voice_actor,"Kaneko, Sayaka",https://cdn.myanimelist.net/images/voiceactors/2/61305.jpg
40749,character,"No, Wani",https://cdn.myanimelist.net/images/questionmark_23.jpg
40750,character,"Motohashi, Riya",https://cdn.myanimelist.net/images/characters/6/429498.jpg
40751,character,"Karuizawa, Yuki",https://cdn.myanimelist.net/images/characters/7/429490.jpg
40752,character,"Warito, Mayu",https://cdn.myanimelist.net/images/characters/7/429489.jpg
40753,staff,"Miyanishi, Katsunori",
40754,character,"Ichinose, Yumiko Cristina",https://cdn.myanimelist.net/images/characters/8/65942.jpg
40755,character,"Morishita, Koyomi",https://cdn.myanimelist.net/images/characters/13/342847.jpg
40756,character,"Sakazaki, Kaho",https://cdn.myanimelist.net/images/characters/14/65944.jpg
40757,character,"Anehara, Misa",https://cdn.myanimelist.net/images/characters/2/342419.jpg
40758,character,"Anehara, Soushirou",https://cdn.myanimelist.net/images/characters/4/342418.jpg
40759,staff,"Misato, Aki",
40760,staff,"Sakurazaka, Hiroshi",
40761,character,JJ,https://cdn.myanimelist.net/images/characters/15/211411.jpg
40762,character,Apple,https://cdn.myanimelist.net/images/characters/2/250253.jpg
40763,character,Champ,https://cdn.myanimelist.net/images/characters/4/211409.jpg
40764,character,Baron Riks,https://cdn.myanimelist.net/images/characters/10/73375.jpg
40765,character,Opa-Opa,https://cdn.myanimelist.net/images/characters/14/371022.jpg
40766,character,Bargari,https://cdn.myanimelist.net/images/characters/14/502847.jpg
40767,character,Minmin,https://cdn.myanimelist.net/images/characters/3/502703.jpg
40768,voice_actor,"Kitagaito, Haruka",https://cdn.myanimelist.net/images/voiceactors/2/57967.jpg
40769,character,"Okamoto, Takeshi",https://cdn.myanimelist.net/images/characters/7/414987.jpg
40770,character,"Bosconovitch, Alisa",https://cdn.myanimelist.net/images/characters/7/188668.jpg
40771,character,"Ling, Xiaoyu",https://cdn.myanimelist.net/images/characters/2/488495.jpg
40772,character,"Kamiya, Shin",https://cdn.myanimelist.net/images/characters/10/122519.jpg
40773,character,"Mishima, Kazuya",https://cdn.myanimelist.net/images/characters/5/186509.jpg
40774,voice_actor,"Shinohara, Masanori",https://cdn.myanimelist.net/images/voiceactors/2/34505.jpg
40775,character,"Mishima, Heihachi",https://cdn.myanimelist.net/images/characters/3/489481.jpg
40776,character,"Lee, Chaolan",https://cdn.myanimelist.net/images/characters/6/186511.jpg
40777,character,"Williams, Nina",https://cdn.myanimelist.net/images/characters/8/396751.jpg
40778,character,"Williams, Anna",https://cdn.myanimelist.net/images/characters/3/489474.jpg
40779,staff,"Mouri, Youichi",
40780,character,"Zhang, Zhiwei",https://cdn.myanimelist.net/images/characters/6/500003.jpg
40781,staff,"Spyri, Johanna",
40782,character,Hirose,https://cdn.myanimelist.net/images/characters/3/243705.jpg
40783,voice_actor,"Kitajima, Junji",https://cdn.myanimelist.net/images/voiceactors/1/57102.jpg
40784,character,Campbell,https://cdn.myanimelist.net/images/characters/12/538552.jpg
40785,staff,"Shintani, Kaoru",
40786,staff,"Sakamoto, Masaki",
40787,character,"Momose, Keiichi",https://cdn.myanimelist.net/images/questionmark_23.jpg
40788,character,"Kawahara, Joutoku",https://cdn.myanimelist.net/images/characters/5/112967.jpg
